"Theta [deg]","dB(SystemGainELCHP) [] - Freq='28GHz' Phi='0deg'","dB(SystemGainELCHP) [] - Freq='28GHz' Phi='90deg'","dB(SystemGainERHCP) [] - Freq='28GHz' Phi='0deg'","dB(SystemGainERHCP) [] - Freq='28GHz' Phi='90deg'"
132,-17.1555262176104,-17.1477301883174,-25.0966159913735,-24.6810971627169
133,-17.5473147362475,-17.5575630114566,-25.3874048910309,-24.8942963079929
134,-17.9154275524748,-17.9426152571341,-25.4843741231367,-24.9262634632333
135,-18.2540046871854,-18.2956756995974,-25.4143783389313,-24.8101314137149
136,-18.5578261541191,-18.6100971446153,-25.2272059262599,-24.595818935491
137,-18.8228725171165,-18.8805453008806,-24.9791061859242,-24.3354449454918
138,-19.0468380555609,-19.1037253436216,-24.7204230872633,-24.0739169491125
139,-19.229488475758,-19.2789225676404,-24.4907418991093,-23.8459908169895
140,-19.3727782477752,-19.4082162502096,-24.3193872644048,-23.677379645249
141,-19.4806985130202,-19.4963076222515,-24.2281408584951,-23.5873542753065
142,-19.5588943550864,-19.5500116303103,-24.2342551969698,-23.5914179250274
143,-19.6141421878381,-19.5775482443871,-24.3530300755872,-23.7035653911846
144,-19.6537956150369,-19.5877976322992,-24.5998141513724,-23.9380762547959
145,-19.685291404668,-19.5896543412115,-24.9914039449967,-24.3108737174537
146,-19.7157707888103,-19.5915554992012,-25.5465014053498,-24.8402725309386
147,-19.7518329665366,-19.6011983049343,-26.283813076993,-25.5462138834724
148,-19.7994093764807,-19.6254216167873,-27.2131743204056,-26.444899896436
149,-19.8637325783886,-19.6702087872843,-28.3061633182389,-27.5293014161619
150,-19.9493701370434,-19.7407681762669,-29.4151238690559,-28.7100873417825
151,-20.0602972927766,-19.841655924885,-30.132145419503,-29.6821101347392
152,-20.1999884091521,-19.9769162862298,-29.8646391411012,-29.8502872058161
153,-20.3715135894162,-20.1502245791833,-28.5009118591544,-28.8341327874358
154,-20.5776321730414,-20.3650253531476,-26.57841758328,-27.0267065169454
155,-20.8208786923493,-20.6246635790657,-24.5859255608105,-25.017245438017
156,-21.1036393859915,-20.9325101067413,-22.7266547885247,-23.1023494398688
157,-21.4282187984374,-21.2920848585742,-21.0487109626586,-21.3664865156713
158,-21.7968966130698,-21.7071828141439,-19.5465849038146,-19.8139649267991
159,-22.2119748707872,-22.1820092232718,-18.2010122010798,-18.4267341564683
160,-22.6758152187518,-22.7213320227009,-16.9917613697507,-17.1834829470074
161,-23.1908648106882,-23.3306614162414,-15.9011135171665,-16.0650436005146
162,-23.7596678175057,-24.0164692420997,-14.9143958853853,-15.0554476234894
163,-24.3848569376119,-24.7864641815115,-14.0196715617904,-14.1417132856786
164,-25.0691153660323,-25.6499426779001,-13.2072584838706,-13.3133441705813
165,-25.8150936929624,-26.6182377692655,-12.4692795464843,-12.561834147603
166,-26.6252571725699,-27.705282489077,-11.7992916134771,-11.8802534472133
167,-27.5016255297412,-28.9282709076872,-11.1919931953762,-11.2629216766798
168,-28.4453489756612,-30.3082757188724,-10.642997928454,-10.7051548428198
169,-29.4560410936713,-31.8702698795746,-10.1486598005105,-10.2030707754129
170,-30.5307680511833,-33.6406716700758,-9.70593812358376,-9.75343933032713
171,-31.6625948761025,-35.6362952350655,-9.31229282734277,-9.35356661516154
172,-32.8386637100196,-37.8260250388778,-8.96560291934089,-9.00120507521818
173,-34.0380197058751,-40.021861472021,-8.6641027612772,-8.69448334831077
174,-35.2299100885331,-41.7067100879733,-8.40633218101507,-8.43185136931547
175,-36.3739737905922,-42.2504222032782,-8.19109746483834,-8.21203737600426
176,-37.4239089598439,-41.7657422443686,-8.01744103813546,-8.03401433468045
